25, 66
25, 71
25, 80
25, 86
25, 90
25, 95
25, 100
24, 103
24, 107
24, 112
23, 117
23, 123
23, 127
23, 132
23, 136
23, 142
23, 147
23, 152
23, 157
23, 160
25, 163
26, 165
27, 166
30, 168
35, 169
41, 170
46, 170
51, 171
55, 171
59, 172
65, 172
70, 172
77, 172
85, 172
91, 172
97, 173
105, 174
114, 175
120, 175
124, 175
126, 175
130, 176
134, 176
138, 176
141, 176
145, 176
149, 176
151, 176
155, 175
157, 174
158, 174
159, 173
161, 172
163, 171
164, 170
166, 167
167, 166
167, 164
168, 161
168, 159
168, 157
166, 153
163, 149
162, 148
161, 148
159, 147
156, 145
151, 144
148, 144
143, 143
135, 143
127, 143
118, 143
106, 142
94, 142
87, 141
76, 140
67, 138
62, 136
59, 133
58, 130
57, 125
57, 118
57, 112
57, 108
57, 104
57, 102
57, 99
58, 94
60, 91
61, 88
64, 86
66, 84
68, 84
72, 82
79, 80
85, 79
94, 78
108, 75
113, 75
119, 75
130, 76
138, 78
143, 81
146, 81
149, 82
153, 82
158, 79
162, 76
165, 73
167, 70
169, 66
169, 63
170, 58
171, 52
171, 47
171, 41
171, 37
170, 34
166, 31
160, 27
152, 24
144, 22
138, 22
126, 22
113, 25
105, 26
95, 28
85, 31
76, 34
66, 36
61, 37
56, 37
49, 37
44, 37
38, 39
33, 41
29, 46
25, 50
23, 54
22, 57
22, 60
22, 62
22, 64
